,subject,region,all v fix SNR
336,01,ACC,3.5588247697
355,20,ACC,5.3916452626
354,21,ACC,2.29070556091
353,11,ACC,5.14941327396
352,18,ACC,2.08516318961
351,17,ACC,2.86262710246
350,16,ACC,2.39483852619
349,15,ACC,4.28368810406
356,19,ACC,3.29243743528
348,22,ACC,4.36107333085
346,12,ACC,3.12242737748
345,10,ACC,1.91391229568
344,05,ACC,2.72915828537
343,09,ACC,1.14948285894
342,08,ACC,5.15924432014
341,07,ACC,3.83248396969
340,06,ACC,3.68373835851
347,14,ACC,0.883120237977
337,04,ACC,3.92438582747
338,02,ACC,2.24268596616
339,13,ACC,4.23090671502
103,20,Calcarine_L,4.64019646175
86,02,Calcarine_L,3.60692101935
87,13,Calcarine_L,4.18387670924
88,06,Calcarine_L,3.6822456557
89,07,Calcarine_L,7.20956759512
90,08,Calcarine_L,5.12526747601
91,09,Calcarine_L,2.63040323156
92,05,Calcarine_L,2.51907699447
93,10,Calcarine_L,3.62747511446
94,12,Calcarine_L,2.78402939466
96,22,Calcarine_L,3.85975824693
97,15,Calcarine_L,3.88849330335
98,16,Calcarine_L,1.05707864485
99,17,Calcarine_L,3.44546642383
100,18,Calcarine_L,1.41463407621
101,11,Calcarine_L,3.23579220297
102,21,Calcarine_L,4.60545349344
95,14,Calcarine_L,2.79903770278
85,04,Calcarine_L,3.91702536297
104,19,Calcarine_L,3.55618650147
84,01,Calcarine_L,2.03076623254
289,18,Calcarine_R,2.31605293681
288,17,Calcarine_R,3.29040161379
287,16,Calcarine_R,1.3431652418
286,15,Calcarine_R,4.27223476781
285,22,Calcarine_R,4.36879121087
284,14,Calcarine_R,2.36535096046
283,12,Calcarine_R,3.18138943917
282,10,Calcarine_R,2.77447181737
281,05,Calcarine_R,2.48809135695
280,09,Calcarine_R,3.69898788775
279,08,Calcarine_R,5.37963261029
278,07,Calcarine_R,6.24518270279
277,06,Calcarine_R,4.39523346083
276,13,Calcarine_R,3.44482855388
275,02,Calcarine_R,2.59951800385
274,04,Calcarine_R,5.23825073845
273,01,Calcarine_R,1.69979028581
290,11,Calcarine_R,4.26437054674
292,20,Calcarine_R,5.06155202953
291,21,Calcarine_R,3.61134968922
293,19,Calcarine_R,4.97207427132
311,11,Cuneus_L,3.76850766728
294,01,Cuneus_L,0.890707376803
295,04,Cuneus_L,2.80143210169
296,02,Cuneus_L,3.37522311693
297,13,Cuneus_L,3.21553689347
298,06,Cuneus_L,2.0872215867
299,07,Cuneus_L,4.56599922362
300,08,Cuneus_L,3.67121887949
301,09,Cuneus_L,1.8597510309
302,05,Cuneus_L,1.62491788769
303,10,Cuneus_L,2.25306784278
304,12,Cuneus_L,2.78373659108
305,14,Cuneus_L,1.15559073023
306,22,Cuneus_L,2.65772025253
307,15,Cuneus_L,0.652280673215
308,16,Cuneus_L,1.25431804135
309,17,Cuneus_L,3.50037518785
310,18,Cuneus_L,1.52798251479
314,19,Cuneus_L,3.11791445171
312,21,Cuneus_L,2.81326414545
313,20,Cuneus_L,3.86746350298
0,01,Cuneus_R,1.31427672159
6,08,Cuneus_R,5.7687143646
20,19,Cuneus_R,3.18713768541
1,04,Cuneus_R,4.54230519095
2,02,Cuneus_R,3.61935152702
3,13,Cuneus_R,5.4516014937
4,06,Cuneus_R,4.20984975993
5,07,Cuneus_R,6.05138815656
7,09,Cuneus_R,2.83736926778
8,05,Cuneus_R,3.32284832468
10,12,Cuneus_R,4.48678485834
9,10,Cuneus_R,3.41093835961
12,22,Cuneus_R,1.66521074056
13,15,Cuneus_R,2.74169313211
14,16,Cuneus_R,1.34088633165
15,17,Cuneus_R,4.01787585833
16,18,Cuneus_R,1.82949490407
17,11,Cuneus_R,4.04126216731
18,21,Cuneus_R,3.36259347051
19,20,Cuneus_R,3.98500912935
11,14,Cuneus_R,1.69422181192
329,16,IFGop_L,1.60493735572
327,22,IFGop_L,3.00192730257
328,15,IFGop_L,3.90985096988
330,17,IFGop_L,2.10156418835
334,20,IFGop_L,3.66457450397
332,11,IFGop_L,6.01958670985
333,21,IFGop_L,1.37543723121
326,14,IFGop_L,0.934351258088
331,18,IFGop_L,2.02281122648
325,12,IFGop_L,2.28877186526
335,19,IFGop_L,1.68253002749
323,05,IFGop_L,2.69578343349
324,10,IFGop_L,2.10255086107
316,04,IFGop_L,2.68493232095
317,02,IFGop_L,1.19171865415
318,13,IFGop_L,2.44914202242
315,01,IFGop_L,2.1268694263
320,07,IFGop_L,2.75905713935
321,08,IFGop_L,4.61791632658
322,09,IFGop_L,1.98174034854
319,06,IFGop_L,3.39130994593
71,05,IFGop_R,2.28799010189
83,19,IFGop_R,2.0379680457
66,13,IFGop_R,3.12169913413
67,06,IFGop_R,3.24178192266
68,07,IFGop_R,4.4401772301
69,08,IFGop_R,4.37653732163
70,09,IFGop_R,0.49926752092
72,10,IFGop_R,3.00785473438
76,15,IFGop_R,4.71247775559
74,14,IFGop_R,0.361078474734
75,22,IFGop_R,1.2398494194
65,02,IFGop_R,1.28791745354
77,16,IFGop_R,1.69010404297
78,17,IFGop_R,1.94122209045
79,18,IFGop_R,1.88831819203
80,11,IFGop_R,5.25332644551
81,21,IFGop_R,1.31177689056
73,12,IFGop_R,1.85304729288
64,04,IFGop_R,2.78813460562
82,20,IFGop_R,4.65805880232
63,01,IFGop_R,3.52549595442
272,19,Insula_L,2.73425747083
255,13,Insula_L,2.62671070413
256,06,Insula_L,3.40274711299
257,07,Insula_L,3.16304399975
258,08,Insula_L,4.08828127241
259,09,Insula_L,1.2629914449
260,05,Insula_L,3.0201976889
261,10,Insula_L,2.1574388409
262,12,Insula_L,0.785153840905
263,14,Insula_L,1.1497845244
264,22,Insula_L,3.03675773159
265,15,Insula_L,2.80475979739
266,16,Insula_L,1.87545363162
267,17,Insula_L,1.19329876679
268,18,Insula_L,1.72982172848
270,21,Insula_L,3.03800345452
271,20,Insula_L,3.15319103167
254,02,Insula_L,2.75591972859
269,11,Insula_L,4.42301699128
252,01,Insula_L,2.23009676614
253,04,Insula_L,2.41549276458
144,21,Insula_R,2.02933904885
146,19,Insula_R,2.16661906459
142,18,Insula_R,1.26379873107
141,17,Insula_R,1.37393928835
140,16,Insula_R,1.18579974984
139,15,Insula_R,3.36457262603
138,22,Insula_R,1.29806401757
137,14,Insula_R,0.514663420871
136,12,Insula_R,1.75358786067
135,10,Insula_R,2.23446510943
134,05,Insula_R,2.49381600915
133,09,Insula_R,1.34590560032
132,08,Insula_R,2.71419405446
131,07,Insula_R,2.05136013635
130,06,Insula_R,0.891587506279
129,13,Insula_R,1.76310049516
128,02,Insula_R,1.80784164496
127,04,Insula_R,2.68355382864
126,01,Insula_R,2.48143112699
145,20,Insula_R,0.957058374239
143,11,Insula_R,3.75686313235
167,19,MFG_L,2.58788177041
148,04,MFG_L,1.31127516608
165,21,MFG_L,3.01554204583
164,11,MFG_L,4.54477180359
163,18,MFG_L,0.209927518285
162,17,MFG_L,2.65231263262
161,16,MFG_L,1.2636210137
160,15,MFG_L,2.45175672051
159,22,MFG_L,3.48468589952
158,14,MFG_L,0.312661720269
157,12,MFG_L,0.777897846457
156,10,MFG_L,2.54770500187
155,05,MFG_L,0.383876692941
154,09,MFG_L,0.146533311636
153,08,MFG_L,3.45072789451
152,07,MFG_L,4.15432997197
151,06,MFG_L,2.06718918831
150,13,MFG_L,0.569818032992
149,02,MFG_L,2.39357770683
166,20,MFG_L,4.85564067662
147,01,MFG_L,-0.201200240975
199,12,MFG_R,1.70867565144
189,01,MFG_R,1.11739405261
191,02,MFG_R,2.67810224768
192,13,MFG_R,4.8549775842
193,06,MFG_R,2.75500878743
194,07,MFG_R,4.16131820145
195,08,MFG_R,3.64596104681
196,09,MFG_R,0.728808154169
197,05,MFG_R,1.55036939374
190,04,MFG_R,4.76798708505
198,10,MFG_R,1.81410740323
201,22,MFG_R,4.07269237455
202,15,MFG_R,3.81036678557
203,16,MFG_R,1.28718538043
204,17,MFG_R,3.51991778336
205,18,MFG_R,0.978986955901
206,11,MFG_R,2.4843957549
207,21,MFG_R,2.93666932015
200,14,MFG_R,0.690225326645
208,20,MFG_R,3.42899690236
209,19,MFG_R,1.35301197212
124,20,Occipital_Inf_L,5.08769133885
107,02,Occipital_Inf_L,2.6184808812
108,13,Occipital_Inf_L,4.14980766263
109,06,Occipital_Inf_L,2.37408238264
110,07,Occipital_Inf_L,6.83811879654
111,08,Occipital_Inf_L,4.17654377285
112,09,Occipital_Inf_L,3.92253351948
113,05,Occipital_Inf_L,3.95844885182
114,10,Occipital_Inf_L,3.67521720329
106,04,Occipital_Inf_L,4.49262573915
116,14,Occipital_Inf_L,2.41027210672
117,22,Occipital_Inf_L,3.09844364425
118,15,Occipital_Inf_L,4.53199256741
119,16,Occipital_Inf_L,0.515946784323
120,17,Occipital_Inf_L,4.4541236254
121,18,Occipital_Inf_L,3.36075353461
122,11,Occipital_Inf_L,3.12706848524
123,21,Occipital_Inf_L,4.46198459463
125,19,Occipital_Inf_L,5.25953720318
115,12,Occipital_Inf_L,2.42171619731
105,01,Occipital_Inf_L,2.09296628804
250,20,Occipital_Inf_R,3.91367567691
251,19,Occipital_Inf_R,4.41396919703
232,04,Occipital_Inf_R,2.53643949332
233,02,Occipital_Inf_R,2.78528022598
234,13,Occipital_Inf_R,3.00927362324
235,06,Occipital_Inf_R,2.43340014125
236,07,Occipital_Inf_R,4.96391864106
237,08,Occipital_Inf_R,2.17641570458
238,09,Occipital_Inf_R,1.57422169063
239,05,Occipital_Inf_R,5.29679851107
231,01,Occipital_Inf_R,2.39995274929
241,12,Occipital_Inf_R,1.48622677108
242,14,Occipital_Inf_R,1.11880272388
243,22,Occipital_Inf_R,3.63785004076
244,15,Occipital_Inf_R,3.53949041937
245,16,Occipital_Inf_R,0.473863711662
246,17,Occipital_Inf_R,2.75419734422
247,18,Occipital_Inf_R,2.60419524515
248,11,Occipital_Inf_R,2.99492981011
249,21,Occipital_Inf_R,2.9598507288
240,10,Occipital_Inf_R,0.962390993514
366,10,Occipital_Mid_L,2.80974793541
362,07,Occipital_Mid_L,4.67065802624
364,09,Occipital_Mid_L,2.48384794551
363,08,Occipital_Mid_L,4.58883452869
367,12,Occipital_Mid_L,2.23795559942
365,05,Occipital_Mid_L,3.37233186368
368,14,Occipital_Mid_L,1.90235602634
373,18,Occipital_Mid_L,1.49877314588
370,15,Occipital_Mid_L,3.46145301957
371,16,Occipital_Mid_L,1.17432815461
372,17,Occipital_Mid_L,1.99209016641
374,11,Occipital_Mid_L,1.9729823455
375,21,Occipital_Mid_L,2.66130766556
376,20,Occipital_Mid_L,3.96218870762
377,19,Occipital_Mid_L,1.77106579183
361,06,Occipital_Mid_L,2.67733995707
369,22,Occipital_Mid_L,2.72649354317
360,13,Occipital_Mid_L,3.93229975129
358,04,Occipital_Mid_L,4.26654911267
359,02,Occipital_Mid_L,2.68848714586
357,01,Occipital_Mid_L,1.42628939824
60,21,Occipital_Mid_R,3.05863373467
42,01,Occipital_Mid_R,1.53254460605
43,04,Occipital_Mid_R,4.47865080463
44,02,Occipital_Mid_R,2.96981128896
45,13,Occipital_Mid_R,2.99415907873
46,06,Occipital_Mid_R,3.90993898836
47,07,Occipital_Mid_R,4.55240495361
62,19,Occipital_Mid_R,2.75842730696
59,11,Occipital_Mid_R,3.44914147822
48,08,Occipital_Mid_R,4.417850837
50,05,Occipital_Mid_R,2.14760644998
52,12,Occipital_Mid_R,2.63570058659
53,14,Occipital_Mid_R,1.66919985925
54,22,Occipital_Mid_R,4.01470136836
55,15,Occipital_Mid_R,3.72682571545
56,16,Occipital_Mid_R,0.768752389823
57,17,Occipital_Mid_R,1.49893200711
58,18,Occipital_Mid_R,2.02999412959
61,20,Occipital_Mid_R,4.08745250329
49,09,Occipital_Mid_R,2.4550701391
51,10,Occipital_Mid_R,2.60802107265
211,04,Occipital_Sup_L,4.22701590567
210,01,Occipital_Sup_L,2.72259708725
230,19,Occipital_Sup_L,3.03972992351
229,20,Occipital_Sup_L,5.78829103569
228,21,Occipital_Sup_L,3.08541913707
227,11,Occipital_Sup_L,4.89222878986
226,18,Occipital_Sup_L,2.98442150447
224,16,Occipital_Sup_L,0.692343248647
223,15,Occipital_Sup_L,3.26410940222
222,22,Occipital_Sup_L,2.87217463838
221,14,Occipital_Sup_L,1.24084946393
225,17,Occipital_Sup_L,2.48758506128
219,10,Occipital_Sup_L,3.68403174125
218,05,Occipital_Sup_L,3.42033984979
217,09,Occipital_Sup_L,2.73914814354
216,08,Occipital_Sup_L,4.38837350158
215,07,Occipital_Sup_L,5.66114778386
214,06,Occipital_Sup_L,3.02649329683
213,13,Occipital_Sup_L,4.65404275289
212,02,Occipital_Sup_L,2.86739552088
220,12,Occipital_Sup_L,4.61976884531
29,05,Occipital_Sup_R,4.17042626469
28,09,Occipital_Sup_R,3.61120375469
27,08,Occipital_Sup_R,6.11212061697
26,07,Occipital_Sup_R,6.17762435012
22,04,Occipital_Sup_R,4.61390236158
24,13,Occipital_Sup_R,4.49436436009
23,02,Occipital_Sup_R,1.82942212976
30,10,Occipital_Sup_R,3.50868311896
25,06,Occipital_Sup_R,5.32965085507
31,12,Occipital_Sup_R,4.60966067215
41,19,Occipital_Sup_R,1.89296157852
33,22,Occipital_Sup_R,1.30683836659
34,15,Occipital_Sup_R,4.97760957286
35,16,Occipital_Sup_R,1.29348360137
36,17,Occipital_Sup_R,2.49405436524
37,18,Occipital_Sup_R,3.37173916577
38,11,Occipital_Sup_R,2.87447759862
39,21,Occipital_Sup_R,3.55913159905
40,20,Occipital_Sup_R,4.8659444436
21,01,Occipital_Sup_R,0.899634579785
32,14,Occipital_Sup_R,1.22949066342
168,01,PrecG_L,1.77144336082
188,19,PrecG_L,2.86576403741
187,20,PrecG_L,4.27235593062
169,04,PrecG_L,2.55045206583
170,02,PrecG_L,0.928266959764
171,13,PrecG_L,2.59961940876
172,06,PrecG_L,3.53590517919
173,07,PrecG_L,2.95071840125
175,09,PrecG_L,1.07462147174
176,05,PrecG_L,1.7291220028
177,10,PrecG_L,1.60742485884
174,08,PrecG_L,5.88070514279
179,14,PrecG_L,-0.395566218126
178,12,PrecG_L,1.70942591282
185,11,PrecG_L,5.44180810612
184,18,PrecG_L,0.156277785163
183,17,PrecG_L,1.65859542491
186,21,PrecG_L,2.70552131036
181,15,PrecG_L,3.31483989248
180,22,PrecG_L,4.44217446234
182,16,PrecG_L,1.86020716738
389,14,PrecG_R,0.624515914974
396,21,PrecG_R,2.56798916812
395,11,PrecG_R,4.5666464319
394,18,PrecG_R,-0.273882231392
393,17,PrecG_R,2.02885196117
392,16,PrecG_R,1.26544881475
391,15,PrecG_R,4.90674077202
390,22,PrecG_R,2.97043246096
388,12,PrecG_R,1.96185472938
378,01,PrecG_R,3.45299869975
386,05,PrecG_R,1.81708080491
385,09,PrecG_R,-0.560083101897
384,08,PrecG_R,4.33457647831
383,07,PrecG_R,4.58153118467
382,06,PrecG_R,1.15561530643
381,13,PrecG_R,3.36449654458
380,02,PrecG_R,0.863119771625
379,04,PrecG_R,4.13345356592
397,20,PrecG_R,4.7271200294
387,10,PrecG_R,0.663803675351
398,19,PrecG_R,2.46597604911
400,01,Visual Cortex,1.70095253254
401,20,Visual Cortex,4.52594648296
402,21,Visual Cortex,3.41789882584
403,11,Visual Cortex,3.46207610919
404,18,Visual Cortex,2.29380411574
405,17,Visual Cortex,2.99351016535
406,16,Visual Cortex,0.991416615008
407,15,Visual Cortex,3.50561825734
408,19,Visual Cortex,3.39690039109
409,22,Visual Cortex,3.02079820524
410,12,Visual Cortex,3.12469689551
411,10,Visual Cortex,2.93140451993
412,05,Visual Cortex,3.23208863548
413,09,Visual Cortex,2.78125366109
414,08,Visual Cortex,4.58049722921
415,07,Visual Cortex,5.69360102295
416,06,Visual Cortex,3.41254560844
417,14,Visual Cortex,1.75851720489
418,04,Visual Cortex,4.11141968111
419,02,Visual Cortex,2.89598908598
420,13,Visual Cortex,3.95297908792
421,01,Frontal Cortex,2.2292615462
422,20,Frontal Cortex,3.9009601682
423,21,Frontal Cortex,2.36344267006
424,11,Frontal Cortex,4.62664762772
425,18,Frontal Cortex,1.11791367729
426,17,Frontal Cortex,2.14803658205
427,16,Frontal Cortex,1.60306618696
428,15,Frontal Cortex,3.72878371372
429,19,Frontal Cortex,2.35404954144
430,22,Frontal Cortex,3.10085077771
431,12,Frontal Cortex,1.77342693081
432,10,Frontal Cortex,2.00547364231
433,05,Frontal Cortex,2.07859937924
434,09,Frontal Cortex,0.84769640103
435,08,Frontal Cortex,4.25201598418
436,07,Frontal Cortex,3.56600224829
437,06,Frontal Cortex,2.68054258975
438,14,Frontal Cortex,0.563870517759
439,04,Frontal Cortex,3.02885191446
440,02,Frontal Cortex,1.79435001481
441,13,Frontal Cortex,2.84227451571
