,subject,region,raw SNR
336,01,ACC,66.2067726347
355,20,ACC,51.5816544137
354,21,ACC,65.3981557719
353,11,ACC,55.8553852527
352,18,ACC,59.3911898275
351,17,ACC,69.399696291
350,16,ACC,66.4456063082
349,15,ACC,104.658746522
356,19,ACC,71.8577477453
348,22,ACC,78.6455861645
346,12,ACC,60.4897776105
345,10,ACC,54.5515441844
344,05,ACC,59.1850454606
343,09,ACC,75.1423439914
342,08,ACC,56.4136332407
341,07,ACC,77.9162265404
340,06,ACC,74.2209194313
347,14,ACC,83.7819794579
337,04,ACC,69.8902137334
338,02,ACC,54.1241781141
339,13,ACC,82.6991409473
103,20,Calcarine_L,33.8339040884
86,02,Calcarine_L,61.1249197292
87,13,Calcarine_L,52.477553099
88,06,Calcarine_L,43.42391758
89,07,Calcarine_L,59.5931242132
90,08,Calcarine_L,39.9302567837
91,09,Calcarine_L,45.5015268827
92,05,Calcarine_L,39.5863302704
93,10,Calcarine_L,21.3489292528
94,12,Calcarine_L,35.3279432801
96,22,Calcarine_L,47.5792046848
97,15,Calcarine_L,57.0089130368
98,16,Calcarine_L,36.3377862904
99,17,Calcarine_L,30.239845492
100,18,Calcarine_L,33.2310396565
101,11,Calcarine_L,21.1258395423
102,21,Calcarine_L,69.8640930276
95,14,Calcarine_L,49.089187695
85,04,Calcarine_L,32.5449081731
104,19,Calcarine_L,47.2796741179
84,01,Calcarine_L,53.5233149555
289,18,Calcarine_R,31.7182375831
288,17,Calcarine_R,33.9155570048
287,16,Calcarine_R,40.8825603936
286,15,Calcarine_R,60.2458466091
285,22,Calcarine_R,47.6198785944
284,14,Calcarine_R,52.5864331385
283,12,Calcarine_R,37.4946118536
282,10,Calcarine_R,23.4797887026
281,05,Calcarine_R,44.3251837633
280,09,Calcarine_R,46.7705140019
279,08,Calcarine_R,39.6373026444
278,07,Calcarine_R,59.270993855
277,06,Calcarine_R,46.3132701958
276,13,Calcarine_R,54.4852476173
275,02,Calcarine_R,53.0508601094
274,04,Calcarine_R,37.5296780857
273,01,Calcarine_R,52.0094127511
290,11,Calcarine_R,25.3710270818
292,20,Calcarine_R,36.6476708982
291,21,Calcarine_R,64.8317781309
293,19,Calcarine_R,46.5156734758
311,11,Cuneus_L,21.9739283574
294,01,Cuneus_L,56.2458022351
295,04,Cuneus_L,38.5441045142
296,02,Cuneus_L,72.0881322513
297,13,Cuneus_L,60.2906959337
298,06,Cuneus_L,45.3860126572
299,07,Cuneus_L,62.4078316072
300,08,Cuneus_L,41.4808159381
301,09,Cuneus_L,45.6241215149
302,05,Cuneus_L,45.7714684791
303,10,Cuneus_L,23.4215621939
304,12,Cuneus_L,40.4390725681
305,14,Cuneus_L,55.2366862533
306,22,Cuneus_L,47.8327183894
307,15,Cuneus_L,63.3616069717
308,16,Cuneus_L,36.6882042267
309,17,Cuneus_L,33.4097004261
310,18,Cuneus_L,32.1408663521
314,19,Cuneus_L,46.0357023532
312,21,Cuneus_L,74.8607450453
313,20,Cuneus_L,38.6393243048
0,01,Cuneus_R,59.4183857917
6,08,Cuneus_R,45.5620921871
20,19,Cuneus_R,49.3928344835
1,04,Cuneus_R,41.5247717343
2,02,Cuneus_R,67.1472040705
3,13,Cuneus_R,62.1151798565
4,06,Cuneus_R,49.7815328317
5,07,Cuneus_R,68.6398693967
7,09,Cuneus_R,51.2108313083
8,05,Cuneus_R,47.6231243891
10,12,Cuneus_R,41.299520633
9,10,Cuneus_R,24.9393185369
12,22,Cuneus_R,52.2363638647
13,15,Cuneus_R,63.5970940538
14,16,Cuneus_R,43.922487742
15,17,Cuneus_R,33.1454455235
16,18,Cuneus_R,34.6854938252
17,11,Cuneus_R,25.2326024502
18,21,Cuneus_R,73.2780376424
19,20,Cuneus_R,39.9592144484
11,14,Cuneus_R,57.1170615024
329,16,IFGop_L,63.9882557523
327,22,IFGop_L,71.5361199585
328,15,IFGop_L,85.7704610316
330,17,IFGop_L,60.0852936218
334,20,IFGop_L,46.2011187736
332,11,IFGop_L,60.9184457451
333,21,IFGop_L,64.4266561364
326,14,IFGop_L,74.5237390053
331,18,IFGop_L,61.4181684186
325,12,IFGop_L,62.0287826018
335,19,IFGop_L,72.2385329218
323,05,IFGop_L,56.7432577729
324,10,IFGop_L,47.601013309
316,04,IFGop_L,62.1359559576
317,02,IFGop_L,51.5093568213
318,13,IFGop_L,74.3169972341
315,01,IFGop_L,63.9217007918
320,07,IFGop_L,76.5523240566
321,08,IFGop_L,57.7815627194
322,09,IFGop_L,70.6600512253
319,06,IFGop_L,64.8706203266
71,05,IFGop_R,57.5038514569
83,19,IFGop_R,63.0540780712
66,13,IFGop_R,80.3451243675
67,06,IFGop_R,65.7928779199
68,07,IFGop_R,82.8587776339
69,08,IFGop_R,56.4587926003
70,09,IFGop_R,69.0661619155
72,10,IFGop_R,46.5459268503
76,15,IFGop_R,96.9989233365
74,14,IFGop_R,76.6486790673
75,22,IFGop_R,68.0730503503
65,02,IFGop_R,53.7760264478
77,16,IFGop_R,61.1846826049
78,17,IFGop_R,61.4795315485
79,18,IFGop_R,49.9004611803
80,11,IFGop_R,51.1191210575
81,21,IFGop_R,64.5218377969
73,12,IFGop_R,61.4945819349
64,04,IFGop_R,65.1522517865
82,20,IFGop_R,51.5613117769
63,01,IFGop_R,63.5670385741
272,19,Insula_L,70.9076624424
255,13,Insula_L,77.4235962284
256,06,Insula_L,61.2154784084
257,07,Insula_L,79.9547840222
258,08,Insula_L,56.3812590637
259,09,Insula_L,68.0816783676
260,05,Insula_L,57.4618669508
261,10,Insula_L,41.2950407118
262,12,Insula_L,60.0026531322
