PID,Title,Info.type,Source.in.paper,Task.variable.decoded,Accuracy.50,Accuracy.other,Num_classes,Significance,Roi.Search,Pattern.type,Classifier.type,Classifier.Fitted,Scanner,Resolution,Smoothing,Coregistration,Movement.Correction,Pattern.normalization.type,Num_subs,Talairach.Coordinates,MNI.Coordinates,Coordinate.Space,ROI.Atlas,BA,AAL,Desikan,OxHarvard,Destrieux,Unkown Atlas,Method.of.Assigning.Region,Region.name,Notes.Double.Check,Chris.Double.Check,Notes,Notes Region
36,Goal-dependent dissociation of visual and prefrontal cortices during working memory,Perceptual,,which of 6 objects seens. object visual features retained during delay,,0.16,6,0,ROI,Single Trial Multi-Time Point,svm-lin,0,7T,1.8mmx1.8mmx1.8mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,22,,,,unkown,,,,,,lPFC,name similarity,lPFC,,,,
33,Distributed representations of dynamic facial expressions in the superior temporal sulcus.,Perceptual,,,,0.184,7,1,ROI,Single Trial Multi-Time Point,LogReg,1,3T,1.5mmx1.5mmx1.6mm,smoothed,Native Space,Movement Correction,None,25,,"45,15,23",MNI,,,,,,,,coordinate transfer,Frontal Operculum,,,,
36,Goal-dependent dissociation of visual and prefrontal cortices during working memory,Perceptual,,which of 6 objects seen. object category retained during delay,,0.2,6,1,ROI,Single Trial Multi-Time Point,svm-lin,0,7T,1.8mmx1.8mmx1.8mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,22,,,,unkown,,,,,,lPFC,name similarity,lPFC,,,,
7,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule 4way,,0.242,4,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,,1,,
7,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response Rule 4way,,0.258,4,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,,1,,
8,The Relationship between Working Memory Storage and Elevated Activity as Measured with Functional Magnetic Resonance Imaging,Perceptual,Figure 4,Stimulus direction (direction decoding)(probe),,0.26,4,0,ROI,Single Trial Single-Time Point,LogReg,1,3T,3.5mmx3.5mmx3.5mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,7,,,,unkown,,,,,,Frontal,name similarity,"Frontal ROI: The frontal region included the entire precentral sulcus PCS and the posterior portion of the inferior frontal sulcus IFS. For finer- grained analyses, this was subdivided into three frontal ROIs that showed robust delay-period activity: 1 the superior rostral bank of the PCS bounded superiorly by the intersection of the superior frontal sulcus SFS; 2 a more inferior portion of the rostral bank of the PCS bounded ventrally by the intersection with the IFS; and 3 the caudal third of the IFS",,1,,
7,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 2,Response Rule 4way,,0.264,4,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,,1,,
7,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule 4way,,0.278,4,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,,1,,
7,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 4,Decision Rule_ 4way,,0.29,4,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,,,,Desikan,,,LPFC L,,,,atlas comparison,left LPFC,,1,,
8,The Relationship between Working Memory Storage and Elevated Activity as Measured with Functional Magnetic Resonance Imaging,Perceptual,Figure 4,Stimulus direction (direction decoding)(delay),,0.29,4,0,ROI,Single Trial Single-Time Point,LogReg,1,3T,3.5mmx3.5mmx3.5mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,7,,,,unkown,,,,,,Frontal,name similarity,"Frontal ROI: The frontal region included the entire precentral sulcus PCS and the posterior portion of the inferior frontal sulcus IFS. For finer- grained analyses, this was subdivided into three frontal ROIs that showed robust delay-period activity: 1 the superior rostral bank of the PCS bounded superiorly by the intersection of the superior frontal sulcus SFS; 2 a more inferior portion of the rostral bank of the PCS bounded ventrally by the intersection with the IFS; and 3 the caudal third of the IFS",,1,,
