,PID,Year,Title,Info.type,Source.in.paper,Task.variable.decoded,Accuracy.50,Accuracy.other,Num_classes,Significance,Roi.Search,Pattern.type,Classifier.type,Classifier.Fitted,Scanner,Resolution,Smoothing,Coregistration,Movement.Correction,Pattern.normalization.type,Num_subs,Num_trials,Num_class_types,Talairach.Coordinates,MNI.Coordinates,Coordinate.Space,ROI.Atlas,BA,AAL,Desikan,OxHarvard,Destrieux,Unkown Atlas,Method.of.Assigning.Region,Region.name,Voxel.numbers,Training.setsize,Accuracy.50.Median,Notes,More.Notes,Accuracy.50.original
0,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Perceptual,Text,which color the stimulus was,0.513,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-38,26,24;38,26,24",MNI,,,,,,,,coordinate transfer,bi IFS_,630,36,,leave one run out,,0.513
1,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Perceptual,Text,which position the stimulus was in,0.514,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO_,111,36,,,,0.514
2,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Perceptual,Text,which position the stimulus was in,0.547,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-38,26,24;38,26,24",MNI,,,,,,,,coordinate transfer,bi IFS,630,36,,,,0.547
3,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Perceptual,Text,which color the stimulus was,0.528,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO_,111,36,,,,0.528
4,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Response,Text,which finger used for response,0.474,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"38,26,24",MNI,,,,,,,,coordinate transfer,right IFS_,315,36,,,,0.474
5,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Response,Text,which finger used for response,0.504,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO,111,36,,,,0.504
6,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Response,Text,which finger used for response,0.55,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-38,26,24",MNI,,,,,,,,coordinate transfer,left IFS,315,36,,,,0.55
7,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which rule used to map stimulus to response,0.531,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931,2,,"38,26,24",MNI,,,,,,,,coordinate transfer,right IFS_,315,36,,,,0.531
8,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which sub-rule used (1st order),0.535,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931,2,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO,111,36,,,,0.535
9,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which sub-rule used (1st order),0.541,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931,2,,"-38,26,24;38,26,24",MNI,,,,,,,,coordinate transfer,bi IFS_,630,36,,,,0.541
10,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which rule used to map stimulus to response,0.543,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931,2,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO,111,36,,,,0.543
11,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which rule used to map stimulus to response,0.593,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931,2,,"-38,26,24",MNI,,,,,,,,coordinate transfer,left IFS_,315,36,,,,0.593
12,2,2012,Neural correlates of object-based attentional selection in human cortex,Rule,Figure 4,Which object the participant attending to during cue and stimulus,0.55,,2,0,ROI,Single Trial Multi-Time Point,LDA,0,3T,3mmx3mmx4mm,unsmooth,Native Space,Movement Correction,None,6,100,2,,,,unkown,,,,,,Insula,name similarity,Insula,135,98,,leave one pattern out,,0.55
13,2,2012,Neural correlates of object-based attentional selection in human cortex,Rule,Figure 4,Which object the participant attending to during cue and stimulus,0.58,,2,0,ROI,Single Trial Multi-Time Point,LDA,0,3T,3mmx3mmx4mm,unsmooth,Native Space,Movement Correction,None,6,100,2,,,,unkown,,,,,,mSFG,name similarity,mSFG,125,98,,,,0.58
14,2,2012,Neural correlates of object-based attentional selection in human cortex,Rule,Figure 4,Which object the participant attending to during cue and stimulus,0.6,,2,0,ROI,Single Trial Multi-Time Point,LDA,0,3T,3mmx3mmx4mm,unsmooth,Native Space,Movement Correction,None,6,100,2,,,,unkown,,,,,,MFG,name similarity,MFG,140,98,,,,0.6
15,2,2012,Neural correlates of object-based attentional selection in human cortex,Rule,Figure 4,Which object the participant attending to during cue and stimulus,0.64,,2,1,ROI,Single Trial Multi-Time Point,LDA,0,3T,3mmx3mmx4mm,unsmooth,Native Space,Movement Correction,None,6,100,2,,,,unkown,,,,,,FEF,name similarity,FEF,140,98,,,,0.64
16,5,2013,Frontal and Parietal Cortical Interactions with Distributed Visual Representations during Selective Attention and Action Selection,Response,Figure 10,if made a match vs non match decision,0.52,,2,1,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3mmx3mmx3mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,10,,,,"-6,8,55;9,8,49",MNI,,,,,,,,coordinate transfer,"pre-SMA,PMD,LPFC, IFJ",904,142,,leave one trial out,,0.52
17,5,2013,Frontal and Parietal Cortical Interactions with Distributed Visual Representations during Selective Attention and Action Selection,Rule,Figure 10,if instructed to selectively attend or non selectively attend,0.53,,2,1,ROI,Single Trial Multi-Time Point,LogReg,0,3T,3mmx3mmx3mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,10,144,2,,"-6,8,55;9,8,49;-39,-4,49;48,-1,46;-39,35,31;36,26,40;-45,8,37;51,2,43",MNI,,,,,,,,coordinate transfer,"pre-SMA,PMD,LPFC, IFJ",904,142,,,,0.53
18,6,2009,Decoding sequential stages of task preparation in the human brain,Perceptual,Figure 2,Stimulus,0.56,,2,1,Searchlight Peak,Multi-Trial Single-Time Point,svm-lin,0,3T,3mmx3mmx2mm,unsmooth,Native Space,Movement Correction,None,14,,,,"-51,33,-12",MNI,,,,,,,,coordinate transfer,anterior left VLPFC,268,6,,leave one trial out,,0.56
19,6,2009,Decoding sequential stages of task preparation in the human brain,Response,Figure 2,Motor Response,0.65,,2,1,Searchlight Peak,Multi-Trial Single-Time Point,svm-lin,0,3T,3mmx3mmx2mm,unsmooth,Native Space,Movement Correction,None,14,,,,"-18,6,66",MNI,,,,,,,,coordinate transfer,SMA,268,6,,,,0.65
20,6,2009,Decoding sequential stages of task preparation in the human brain,Rule,Figure 2,Task Rule,0.56,,2,1,Searchlight Peak,Multi-Trial Single-Time Point,svm-lin,0,3T,3mmx3mmx2mm,unsmooth,Native Space,Movement Correction,None,14,64,2,,"-48,12,21",MNI,,,,,,,,coordinate transfer,posterior VLPFC,268,6,,,,0.56
21,6,2009,Decoding sequential stages of task preparation in the human brain,Rule,Figure 2,Task Rule,0.58,,2,1,Searchlight Peak,Multi-Trial Single-Time Point,svm-lin,0,3T,3mmx3mmx2mm,unsmooth,Native Space,Movement Correction,None,14,64,2,,"-51,33,2",MNI,,,,,,,,coordinate transfer,anterior left VLPFC,268,6,,,,0.58
22,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule GREEN vs. LOUD,0.438,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360,2,,,,Desikan,,,LPFC R,,,,atlas comparison,LPFC R,954,114,,leave three blocks out (harder to determine pattern numbers),,0.438
23,7,2011,Rapid transfer of abstract rules to novel contexts in human lateral prefrontal cortex.,Rule,Table 3,Semantic Rule GREEN vs. LOUD,0.461,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,14,360,2,,,,Desikan,,,LPFC L,,,,atlas comparison,LPFC L,956,114,,,,0.461
