,Unnamed: 0,PID,Title,Paper-source,Included,Exclusion Reason,Exclusion Reason Subcategory,Keyword,prop_match,where_match
0,0.0,,"Ng,Bernard;Abugharbieh,Rafeef;Palmer,Samantha J;McKeown,Martin J;(2007)Characterizing task-related temporal dynamics of spatial activation distributions in fMRI BOLD signals.",NOT IN Search 2,Exclude,Univariate,,,,
1,1.0,,"Osipowicz,Karol;Rickards,Tyler;Shah,Atif;Sharan,Ashwini;Sperling,Michael;Kahn,Waseem;Tracy,Joseph;(2011)A test of the role of the medial temporal lobe in single-word decoding.",Search 2,Exclude,Univariate,,,,
2,2.0,,"Araujo,Ivan E de;(2003)[Taste representation in the human cortex and the central control of appetite].",Search 2,Exclude,Univariate,,,,
3,3.0,,"Beauchamp,Michael S;(2005)Statistical criteria in FMRI studies of multisensory integration.",Search 2,Exclude,Univariate,,,,
4,4.0,,"Billington,Jac;Baron-Cohen,Simon;Bor,Daniel;(2008)Systemizing influences attentional processes during the Navon task: an fMRI study.",Search 2,Exclude,Univariate,,,,
5,5.0,,"Borowsky,Ron;Esopenko,Carrie;Cummine,Jacqueline;Sarty,Gordon E;(2007)Neural representations of visual words and objects: a functional MRI study on the modularity of reading and object processing.",Search 2,Exclude,Univariate,,,,
6,6.0,,"Bzdok,Danilo;Langner,Robert;Schilbach,Leonhard;Engemann,Denis A;Laird,Angela R;Fox,Peter T;Eickhoff,Simon B;(2013)Segregation of the human medial prefrontal cortex in social cognition.",Search 2,Exclude,Univariate,,,,
7,7.0,,"Canessa,Nicola;Alemanno,Federica;Riva,Federica;Zani,Alberto;Proverbio,Alice Mado;Mannara,Nicola;Perani,Daniela;Cappa,Stefano F;(2012)The neural bases of social intention understanding: the role of interaction goals.",Search 2,Exclude,Univariate,,,,
8,8.0,,"Cole,David M;Beckmann,Christian F;Oei,Nicole Y L;Both,Stephanie;van Gerven,Joop M A;Rombouts,Serge A R B;(2013)Differential and distributed effects of dopamine neuromodulations on resting-state network connectivity.",Search 2,Exclude,Univariate,,,,
9,9.0,,"Collette,Fabienne;Van der Linden,Martial;(2002)Brain imaging of the central executive component of working memory.",Search 2,Exclude,Univariate,,,,
10,10.0,,"d'Avossa,Giovanni;Shulman,Gordon L;Corbetta,Maurizio;(2003)Identification of cerebral networks by classification of the shape of BOLD responses.",Search 2,Exclude,Univariate,,,,
11,11.0,,"Daniel,Reka;Wagner,Gerd;Koch,Kathrin;Reichenbach,Jurgen R;Sauer,Heinrich;Schlosser,Ralf G M;(2011)Assessing the neural basis of uncertainty in perceptual category learning through varying levels of distortion.",Search 2,Exclude,Univariate,,,,
12,12.0,,"Davis,F Caroline;Knodt,Annchen R;Sporns,Olaf;Lahey,Benjamin B;Zald,David H;Brigidi,Bart D;Hariri,Ahmad R;(2013)Impulsivity and the modular organization of resting-state neural networks.",Search 2,Exclude,Univariate,,,,
13,13.0,,"Dmochowski,Jacek P;Sajda,Paul;Dias,Joao;Parra,Lucas C;(2012)Correlated components of ongoing EEG point to emotionally laden attention - a possible marker of engagement?",Search 2,Exclude,Univariate,,,,
14,14.0,,"Dobbins,Ian G;Schnyer,David M;Verfaellie,Mieke;Schacter,Daniel L;(2004)Cortical activity reductions during repetition priming can result from rapid response learning.",Search 2,Exclude,Univariate,,,,
15,15.0,,"Eickhoff,Simon B;Paus,Tomas;Caspers,Svenja;Grosbras,Marie-Helene;Evans,Alan C;Zilles,Karl;Amunts,Katrin;(2007)Assignment of functional activations to probabilistic cytoarchitectonic areas revisited.",Search 2,Exclude,Univariate,,,,
16,16.0,,"Eldeghaidy,Sally;Marciani,Luca;McGlone,Francis;Hollowood,Tracey;Hort,Joanne;Head,Kay;Taylor,Andrew J;Busch,Johanneke;Spiller,Robin C;Gowland,Penny A;Francis,Susan T;(2011)The cortical response to the oral perception of fat emulsions and the effect of taster status.",Search 2,Exclude,Univariate,,,,
17,17.0,,"Fabbri,Sara;Caramazza,Alfonso;Lingnau,Angelika;(2012)Distributed sensitivity for movement amplitude in directionally tuned neuronal populations.",Search 2,Exclude,Univariate,,,,
18,18.0,,"Ford,Jaclyn Hennessey;Addis,Donna Rose;Giovanello,Kelly S;(2011)Differential neural activity during search of specific and general autobiographical memories elicited by musical cues.",Search 2,Exclude,Univariate,,,,
19,19.0,,"Fridriksson,Julius;Moss,Joel;Davis,Ben;Baylis,Gordon C;Bonilha,Leonardo;Rorden,Chris;(2008)Motor speech perception modulates the cortical language areas.",Search 2,Exclude,Univariate,,,,
