accuracy,chance,decoding_strenth,PID,Visual_Region
52.0,25.0,0.36,1,Ventral Temporal Regions
47.0,25.0,0.29,1,Ventral Temporal Regions
37.0,33.3,0.06,1,Ventral Temporal Regions
56.6,50.0,0.13,2,Ventral Temporal Regions
21.0,16.7,0.05,3,Ventral Temporal Regions
32.0,16.7,0.18,3,Ventral Temporal Regions
68.3,14.6,0.63,4,Ventral Temporal Regions
57.3,50.0,0.15,5,Ventral Temporal Regions
84.6,50.0,0.69,7,Ventral Temporal Regions
81.8,50.0,0.64,7,Ventral Temporal Regions
84.6,12.5,0.82,9,Ventral Temporal Regions
70.3,50.0,0.41,11,Ventral Temporal Regions
71.0,50.0,0.42,11,Ventral Temporal Regions
36.0,33.0,0.04,12,Ventral Temporal Regions
55.0,33.0,0.33,14,Ventral Temporal Regions
70.0,50.0,0.40,15,Ventral Temporal Regions
55.0,50.0,0.10,15,Ventral Temporal Regions
56.0,50.0,0.12,15,Ventral Temporal Regions
71.0,50.0,0.42,17,Ventral Temporal Regions
62.5,50.0,0.25,18,Ventral Temporal Regions
45.0,25.0,0.27,19,Ventral Temporal Regions
43.0,25.0,0.24,19,Ventral Temporal Regions
51.0,25.0,0.35,19,Ventral Temporal Regions
43.0,10.0,0.37,20,Ventral Temporal Regions
65.0,50.0,0.30,22,Ventral Temporal Regions
65.0,50.0,0.30,22,Ventral Temporal Regions
69.0,50.0,0.38,23,Ventral Temporal Regions
58.0,50.0,0.16,23,Ventral Temporal Regions
75.8,50.0,0.52,23,Ventral Temporal Regions
81.2,50.0,0.62,24,Ventral Temporal Regions
76.7,50.0,0.53,28,Ventral Temporal Regions
75.6,50.0,0.51,28,Ventral Temporal Regions
56.5,50.0,0.13,29,Ventral Temporal Regions
44.0,10.0,0.38,30,Ventral Temporal Regions
18.0,16.7,0.02,31,Ventral Temporal Regions
16.0,16.7,-0.01,31,Ventral Temporal Regions
32.0,16.7,0.18,31,Ventral Temporal Regions
85.0,50.0,0.70,32,Ventral Temporal Regions
38.7,25.0,0.18,33,Ventral Temporal Regions
72.0,50.0,0.44,34,Ventral Temporal Regions
71.9,50.0,0.44,35,Ventral Temporal Regions
72.5,50.0,0.45,35,Ventral Temporal Regions
93.7,50.0,0.87,35,Ventral Temporal Regions
89.0,50.0,0.78,36,Ventral Temporal Regions
90.0,50.0,0.80,36,Ventral Temporal Regions
52.7,50.0,0.05,37,Ventral Temporal Regions
29.0,16.7,0.15,40,Ventral Temporal Regions
68.5,20.0,0.61,42,Ventral Temporal Regions
24.0,16.7,0.09,43,Ventral Temporal Regions
31.0,16.7,0.17,43,Ventral Temporal Regions
53.0,33.3,0.30,44,Ventral Temporal Regions
65.5,50.0,0.31,46,Ventral Temporal Regions
64.8,50.0,0.30,46,Ventral Temporal Regions
69.5,50.0,0.39,48,Ventral Temporal Regions
68.0,50.0,0.36,48,Ventral Temporal Regions
66.5,50.0,0.33,48,Ventral Temporal Regions
75.0,50.0,0.50,49,Ventral Temporal Regions
65.4,50.0,0.31,52,Ventral Temporal Regions
64.3,50.0,0.29,52,Ventral Temporal Regions
