PID,Title,Info.type,Source.in.paper,Task.variable.decoded,Accuracy.50,Accuracy.other,Num_classes,Significance,Roi.Search,Pattern.type,Classifier.type,Classifier.Fitted,Scanner,Resolution,Smoothing,Coregistration,Movement.Correction,Pattern.normalization.type,Num_subs,Talairach.Coordinates,MNI.Coordinates,Coordinate.Space,ROI.Atlas,BA,AAL,Desikan,OxHarvard,Destrieux,Unkown Atlas,Method.of.Assigning.Region,Region.name,Region.AAL.1
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 8,cross stimulus type,0.515,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.52,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.52,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.52,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.52,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 8,cross stimulus type,0.525,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.53,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 8,stimulus type,0.535,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.54,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 8,stimulus type,0.545,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L
