PID,Title,Info.type,Source.in.paper,Task.variable.decoded,Accuracy.50,Accuracy.other,Num_classes,Significance,Roi.Search,Pattern.type,Classifier.type,Classifier.Fitted,Scanner,Resolution,Smoothing,Coregistration,Movement.Correction,Pattern.normalization.type,Num_subs,Talairach.Coordinates,MNI.Coordinates,Coordinate.Space,ROI.Atlas,BA,AAL,Desikan,OxHarvard,Destrieux,Unkown Atlas,Method.of.Assigning.Region,Region.name,Region.MD.1
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 8,cross stimulus type,0.515,,2,0,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.52,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.52,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.52,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.52,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 8,cross stimulus type,0.525,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.53,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 8,stimulus type,0.535,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 4,stimulus type,0.54,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
93,A Common Neural Code for Perceived and Inferred Emotion,Perceptual,Figure 8,stimulus type,0.545,,2,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,Normalized Temporally,21,,,,,,Frontal_Sup_Medial_R; Frontal_Sup_Medial_L,,,,,,,ACC
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.48,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Cingulum_Mid_R; Cingulum_Mid_L,,,,,,,ACC
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.49,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Frontal_Mid_L; Frontal_Mid_R,,,,,,,MFGorb_R;PrecG_R;IFGop_R;MFG_R;MFG_L;IFGop_L;MFGorb_L;PrecG_L
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.49,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Frontal_Mid_L; Frontal_Mid_R,,,,,,,MFGorb_R;PrecG_R;IFGop_R;MFG_R;MFG_L;IFGop_L;MFGorb_L;PrecG_L
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.49,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Frontal_Mid_L; Frontal_Mid_R,,,,,,,MFGorb_R;PrecG_R;IFGop_R;MFG_R;MFG_L;IFGop_L;MFGorb_L;PrecG_L
88,Discrimination of Visual Categories Based on Behavioral Relevance in Widespread Regions of Frontoparietal Cortex,Perceptual,Figure 2,decoded categories of objects when they were behaviorally relevent (target vs not),0.49,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,,smoothed,coregistered,Movement Correction,None,19,,,,,,Precentral_L; Precentral_R,,,,,,,PrecG_R;IFGop_R;IFGop_L;PrecG_L
