Unnamed: 0,PID,Year,Title,Info.type,Source.in.paper,Task.variable.decoded,Accuracy.50,Accuracy.other,Num_classes,Significance,Roi.Search,Pattern.type,Classifier.type,Classifier.Fitted,Scanner,Resolution,Smoothing,Coregistration,Movement.Correction,Pattern.normalization.type,Num_subs,Num_trials,Num_class_types,Talairach.Coordinates,MNI.Coordinates,Coordinate.Space,ROI.Atlas,BA,AAL,Desikan,OxHarvard,Destrieux,Unkown Atlas,Method.of.Assigning.Region,Region.name,Voxel.numbers,Training.setsize,Accuracy.50.Median,Notes,More.Notes,Accuracy.50.original,Region.AAL.1
0,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Perceptual,Text,which color the stimulus was,0.513,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-38,26,24;38,26,24",MNI,,,,,,,,coordinate transfer,bi IFS_,630,36,,leave one run out,,0.513,Frontal_Inf_Tri_L;Frontal_Inf_Tri_R
1,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Perceptual,Text,which position the stimulus was in,0.514,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO_,111,36,,,,0.514,Insula_L;Insula_R
2,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Perceptual,Text,which position the stimulus was in,0.547,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-38,26,24;38,26,24",MNI,,,,,,,,coordinate transfer,bi IFS,630,36,,,,0.547,Frontal_Inf_Tri_L;Frontal_Inf_Tri_R
3,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Perceptual,Text,which color the stimulus was,0.528,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO_,111,36,,,,0.528,Insula_L;Insula_R
4,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Response,Text,which finger used for response,0.474,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"38,26,24",MNI,,,,,,,,coordinate transfer,right IFS_,315,36,,,,0.474,Frontal_Inf_Tri_R
5,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Response,Text,which finger used for response,0.504,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO,111,36,,,,0.504,Insula_L;Insula_R
6,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Response,Text,which finger used for response,0.55,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,,,,"-38,26,24",MNI,,,,,,,,coordinate transfer,left IFS,315,36,,,,0.55,Frontal_Inf_Tri_L
7,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which rule used to map stimulus to response,0.531,,2,0,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931.0,2.0,,"38,26,24",MNI,,,,,,,,coordinate transfer,right IFS_,315,36,,,,0.531,Frontal_Inf_Tri_R
8,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which sub-rule used (1st order),0.535,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931.0,2.0,,"-35,19,3;35,19,3",MNI,,,,,,,,coordinate transfer,bi AI/FO,111,36,,,,0.535,Insula_L;Insula_R
9,1,2011,"Multi-voxel coding of stimuli, Rules, and Responses in human frontoparietal cortex",Rule,Text,which sub-rule used (1st order),0.541,,2,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,None,17,931.0,2.0,,"-38,26,24;38,26,24",MNI,,,,,,,,coordinate transfer,bi IFS_,630,36,,,,0.541,Frontal_Inf_Tri_L;Frontal_Inf_Tri_R
