"Precentral","Frontal_Mid","Frontal_Mid_Orb","Frontal_Inf_Orb","Frontal_Inf_Oper","Frontal_Inf_Tri","Supp_Motor_Area","Cingulum_Mid","Cingulum_Ant","Frontal_Sup","Frontal_Sup_Medial","Insula"
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
